@relation 'trainingbw-weka.filters.unsupervised.attribute.Remove-R2-4,13-22-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute Unixtime numeric
@attribute 'Wirkleistung t-7' numeric
@attribute 'Wirkleistung t-6' numeric
@attribute 'Wirkleistung t-5' numeric
@attribute 'Wirkleistung t-4' numeric
@attribute 'Wirkleistung t-3' numeric
@attribute 'Wirkleistung t-2' numeric
@attribute 'Wirkleistung t-1' numeric
@attribute 'Wirkleistung t+0' numeric
@attribute Klasse {0,1,2,3,4,5}

@data
1382363246,6,6,6,6,6,6,6,6,0
1382363247,6,6,6,6,6,6,6,0,0
1382363248,6,6,6,6,6,6,0,0,0
1382363249,6,6,6,6,6,0,0,0,0
1382363250,6,6,6,6,0,0,0,0,0
1382363251,6,6,6,0,0,0,0,0,0
1382363252,6,6,0,0,0,0,0,0,0
1382363253,6,0,0,0,0,0,0,0,0
1382363254,0,0,0,0,0,0,0,0,0
1382363255,0,0,0,0,0,0,0,0,0
1382363256,0,0,0,0,0,0,0,0,0
1382363257,0,0,0,0,0,0,0,0,0
1382363258,0,0,0,0,0,0,0,0,0
1382363259,0,0,0,0,0,0,0,0,0
1382363260,0,0,0,0,0,0,0,0,0
1382363261,0,0,0,0,0,0,0,0,0
1382363262,0,0,0,0,0,0,0,0,0
1382363263,0,0,0,0,0,0,0,0,0
1382363264,0,0,0,0,0,0,0,0,0
1382363265,0,0,0,0,0,0,0,0,0
1382363266,0,0,0,0,0,0,0,0,0
1382363267,0,0,0,0,0,0,0,0,0
1382363268,0,0,0,0,0,0,0,0,0
1382363269,0,0,0,0,0,0,0,0,0
1382363270,0,0,0,0,0,0,0,0,0
1382363271,0,0,0,0,0,0,0,0,0
1382363272,0,0,0,0,0,0,0,0,0
1382363273,0,0,0,0,0,0,0,0,0
1382363274,0,0,0,0,0,0,0,0,0
1382363275,0,0,0,0,0,0,0,0,0
1382363276,0,0,0,0,0,0,0,0,0
1382363277,0,0,0,0,0,0,0,0,0
1382363278,0,0,0,0,0,0,0,0,0
1382363279,0,0,0,0,0,0,0,0,0
1382363280,0,0,0,0,0,0,0,0,0
1382363281,0,0,0,0,0,0,0,0,0
1382363282,0,0,0,0,0,0,0,0,0
1382363283,0,0,0,0,0,0,0,0,0
1382363284,0,0,0,0,0,0,0,0,0
1382363285,0,0,0,0,0,0,0,0,0
1382363286,0,0,0,0,0,0,0,0,0
1382363287,0,0,0,0,0,0,0,0,0
1382363288,0,0,0,0,0,0,0,0,0
1382363289,0,0,0,0,0,0,0,0,0
1382363290,0,0,0,0,0,0,0,0,0
1382363291,0,0,0,0,0,0,0,0,0
1382363292,0,0,0,0,0,0,0,0,0
1382363293,0,0,0,0,0,0,0,0,0
1382363294,0,0,0,0,0,0,0,0,0
1382363295,0,0,0,0,0,0,0,0,0
1382363296,0,0,0,0,0,0,0,0,0
1382363297,0,0,0,0,0,0,0,0,0
1382363298,0,0,0,0,0,0,0,0,0
1382363299,0,0,0,0,0,0,0,0,0
1382363300,0,0,0,0,0,0,0,0,0
1382363301,0,0,0,0,0,0,0,0,0
1382363302,0,0,0,0,0,0,0,0,0
1382363303,0,0,0,0,0,0,0,0,0
1382363304,0,0,0,0,0,0,0,0,0
1382363305,0,0,0,0,0,0,0,0,0
1382363306,0,0,0,0,0,0,0,0,0
1382363307,0,0,0,0,0,0,0,0,0
1382363308,0,0,0,0,0,0,0,0,0
1382363309,0,0,0,0,0,0,0,0,0
1382363310,0,0,0,0,0,0,0,0,0
1382363311,0,0,0,0,0,0,0,0,0
1382363312,0,0,0,0,0,0,0,0,0
1382363313,0,0,0,0,0,0,0,0,0
1382363314,0,0,0,0,0,0,0,0,0
1382363315,0,0,0,0,0,0,0,0,0
1382363316,0,0,0,0,0,0,0,0,0
1382363317,0,0,0,0,0,0,0,0,0
1382363318,0,0,0,0,0,0,0,0,0
1382363319,0,0,0,0,0,0,0,0,0
1382363320,0,0,0,0,0,0,0,0,0
1382363321,0,0,0,0,0,0,0,0,0
1382363322,0,0,0,0,0,0,0,0,0
1382363323,0,0,0,0,0,0,0,0,0
1382363324,0,0,0,0,0,0,0,0,0
1382363325,0,0,0,0,0,0,0,0,0
1382363326,0,0,0,0,0,0,0,0,0
1382363327,0,0,0,0,0,0,0,0,0
1382363328,0,0,0,0,0,0,0,0,0
1382363329,0,0,0,0,0,0,0,0,0
1382363330,0,0,0,0,0,0,0,0,0
1382363331,0,0,0,0,0,0,0,0,0
1382363332,0,0,0,0,0,0,0,0,0
1382363333,0,0,0,0,0,0,0,0,0
1382363334,0,0,0,0,0,0,0,0,0
1382363335,0,0,0,0,0,0,0,0,0
1382363336,0,0,0,0,0,0,0,0,0
1382363337,0,0,0,0,0,0,0,0,0
1382363338,0,0,0,0,0,0,0,0,0
1382363339,0,0,0,0,0,0,0,0,0
1382363340,0,0,0,0,0,0,0,0,0
1382363341,0,0,0,0,0,0,0,0,0
1382363342,0,0,0,0,0,0,0,0,0
1382363343,0,0,0,0,0,0,0,0,0
1382363344,0,0,0,0,0,0,0,0,0
1382363345,0,0,0,0,0,0,0,0,0
1382363346,0,0,0,0,0,0,0,0,0
1382363347,0,0,0,0,0,0,0,0,0
1382363348,0,0,0,0,0,0,0,0,0
1382363349,0,0,0,0,0,0,0,0,0
1382363350,0,0,0,0,0,0,0,0,0
1382363351,0,0,0,0,0,0,0,0,0
1382363352,0,0,0,0,0,0,0,0,0
1382363353,0,0,0,0,0,0,0,0,0
1382363354,0,0,0,0,0,0,0,0,0
1382363355,0,0,0,0,0,0,0,0,0
1382363356,0,0,0,0,0,0,0,0,0
1382363357,0,0,0,0,0,0,0,0,0
1382363358,0,0,0,0,0,0,0,0,0
1382363359,0,0,0,0,0,0,0,0,0
1382363360,0,0,0,0,0,0,0,0,0
1382363361,0,0,0,0,0,0,0,0,0
1382363362,0,0,0,0,0,0,0,0,0
1382363363,0,0,0,0,0,0,0,0,0
1382363364,0,0,0,0,0,0,0,0,0
1382363365,0,0,0,0,0,0,0,0,0
1382363366,0,0,0,0,0,0,0,0,0
1382363367,0,0,0,0,0,0,0,0,0
1382363368,0,0,0,0,0,0,0,0,0
1382363369,0,0,0,0,0,0,0,0,0
1382363370,0,0,0,0,0,0,0,0,0
1382363371,0,0,0,0,0,0,0,0,0
1382363372,0,0,0,0,0,0,0,0,0
1382363373,0,0,0,0,0,0,0,0,0
1382363374,0,0,0,0,0,0,0,0,0
1382363375,0,0,0,0,0,0,0,0,0
1382363376,0,0,0,0,0,0,0,0,0
1382363377,0,0,0,0,0,0,0,0,0
1382363378,0,0,0,0,0,0,0,0,0
1382363379,0,0,0,0,0,0,0,0,0
1382363380,0,0,0,0,0,0,0,0,0
1382363381,0,0,0,0,0,0,0,0,0
1382363382,0,0,0,0,0,0,0,0,0
1382363383,0,0,0,0,0,0,0,0,0
1382363384,0,0,0,0,0,0,0,0,0
1382363385,0,0,0,0,0,0,0,0,0
1382363386,0,0,0,0,0,0,0,0,0
1382363387,0,0,0,0,0,0,0,0,0
1382363388,0,0,0,0,0,0,0,0,0
1382363389,0,0,0,0,0,0,0,0,0
1382363390,0,0,0,0,0,0,0,0,0
1382363391,0,0,0,0,0,0,0,0,0
1382363392,0,0,0,0,0,0,0,0,0
1382363393,0,0,0,0,0,0,0,0,0
1382363394,0,0,0,0,0,0,0,0,0
1382363395,0,0,0,0,0,0,0,0,0
1382363396,0,0,0,0,0,0,0,0,0
1382363397,0,0,0,0,0,0,0,0,0
1382363398,0,0,0,0,0,0,0,0,0
1382363399,0,0,0,0,0,0,0,0,0
1382363400,0,0,0,0,0,0,0,0,0
1382363401,0,0,0,0,0,0,0,0,0
1382363402,0,0,0,0,0,0,0,0,0
1382363403,0,0,0,0,0,0,0,0,0
1382363404,0,0,0,0,0,0,0,0,0
1382363405,0,0,0,0,0,0,0,0,0
1382363406,0,0,0,0,0,0,0,0,0
1382363407,0,0,0,0,0,0,0,0,0
1382363408,0,0,0,0,0,0,0,0,0
1382363409,0,0,0,0,0,0,0,0,0
1382363410,0,0,0,0,0,0,0,0,0
1382363411,0,0,0,0,0,0,0,0,0
1382363412,0,0,0,0,0,0,0,0,0
1382363413,0,0,0,0,0,0,0,0,0
1382363414,0,0,0,0,0,0,0,0,0
1382363415,0,0,0,0,0,0,0,0,0
1382363416,0,0,0,0,0,0,0,0,0
1382363417,0,0,0,0,0,0,0,0,0
1382363418,0,0,0,0,0,0,0,0,0
1382363419,0,0,0,0,0,0,0,0,0
1382363420,0,0,0,0,0,0,0,0,0
1382363421,0,0,0,0,0,0,0,0,0
1382363422,0,0,0,0,0,0,0,0,0
1382363423,0,0,0,0,0,0,0,0,0
1382363424,0,0,0,0,0,0,0,0,0
1382363425,0,0,0,0,0,0,0,0,0
1382363426,0,0,0,0,0,0,0,0,0
1382363427,0,0,0,0,0,0,0,0,0
1382363428,0,0,0,0,0,0,0,0,0
1382363429,0,0,0,0,0,0,0,0,0
1382363430,0,0,0,0,0,0,0,0,0
1382363431,0,0,0,0,0,0,0,0,0
1382363432,0,0,0,0,0,0,0,0,0
1382363433,0,0,0,0,0,0,0,0,0
1382363434,0,0,0,0,0,0,0,0,0
1382363435,0,0,0,0,0,0,0,0,0
1382363436,0,0,0,0,0,0,0,0,0
1382363437,0,0,0,0,0,0,0,0,0
1382363438,0,0,0,0,0,0,0,0,0
1382363439,0,0,0,0,0,0,0,0,0
1382363440,0,0,0,0,0,0,0,0,0
1382363441,0,0,0,0,0,0,0,0,0
1382363442,0,0,0,0,0,0,0,0,0
1382363443,0,0,0,0,0,0,0,0,0
1382363444,0,0,0,0,0,0,0,0,0
1382363445,0,0,0,0,0,0,0,0,0
1382363446,0,0,0,0,0,0,0,0,0
1382363447,0,0,0,0,0,0,0,0,0
1382363448,0,0,0,0,0,0,0,0,0
1382363449,0,0,0,0,0,0,0,0,0
1382363450,0,0,0,0,0,0,0,0,0
1382363451,0,0,0,0,0,0,0,0,0
1382363452,0,0,0,0,0,0,0,0,0
1382363453,0,0,0,0,0,0,0,0,0
1382363454,0,0,0,0,0,0,0,0,0
1382363455,0,0,0,0,0,0,0,0,0
1382363456,0,0,0,0,0,0,0,0,0
1382363457,0,0,0,0,0,0,0,0,0
1382363458,0,0,0,0,0,0,0,0,0
1382363459,0,0,0,0,0,0,0,0,0
1382363460,0,0,0,0,0,0,0,0,0
1382363461,0,0,0,0,0,0,0,0,0
1382363462,0,0,0,0,0,0,0,0,0
1382363463,0,0,0,0,0,0,0,0,0
1382363464,0,0,0,0,0,0,0,0,0
1382363465,0,0,0,0,0,0,0,0,0
1382363466,0,0,0,0,0,0,0,0,0
1382363467,0,0,0,0,0,0,0,0,0
1382363468,0,0,0,0,0,0,0,0,0
1382363469,0,0,0,0,0,0,0,0,0
1382363470,0,0,0,0,0,0,0,0,0
1382363471,0,0,0,0,0,0,0,0,0
1382363472,0,0,0,0,0,0,0,0,0
1382363473,0,0,0,0,0,0,0,0,0
1382363474,0,0,0,0,0,0,0,0,0
1382363475,0,0,0,0,0,0,0,0,0
1382363476,0,0,0,0,0,0,0,0,0
1382363477,0,0,0,0,0,0,0,0,0
1382363478,0,0,0,0,0,0,0,0,0
1382363479,0,0,0,0,0,0,0,0,0
1382363480,0,0,0,0,0,0,0,0,0
1382363481,0,0,0,0,0,0,0,0,0
1382363482,0,0,0,0,0,0,0,0,0
1382363483,0,0,0,0,0,0,0,0,0
1382363484,0,0,0,0,0,0,0,0,0
1382363485,0,0,0,0,0,0,0,0,0
1382363486,0,0,0,0,0,0,0,0,0
1382363487,0,0,0,0,0,0,0,0,0
1382363488,0,0,0,0,0,0,0,0,0
1382363489,0,0,0,0,0,0,0,0,0
1382363490,0,0,0,0,0,0,0,0,0
1382363491,0,0,0,0,0,0,0,0,0
1382363492,0,0,0,0,0,0,0,0,0
1382363493,0,0,0,0,0,0,0,0,0
1382363494,0,0,0,0,0,0,0,0,0
1382363495,0,0,0,0,0,0,0,0,0
1382363496,0,0,0,0,0,0,0,0,0
1382363497,0,0,0,0,0,0,0,0,0
1382363498,0,0,0,0,0,0,0,0,0
1382363499,0,0,0,0,0,0,0,0,0
1382363500,0,0,0,0,0,0,0,0,0
1382363501,0,0,0,0,0,0,0,0,0
1382363502,0,0,0,0,0,0,0,0,0
1382363503,0,0,0,0,0,0,0,0,0
1382363504,0,0,0,0,0,0,0,0,0
1382363505,0,0,0,0,0,0,0,0,0
1382363506,0,0,0,0,0,0,0,0,0
1382363507,0,0,0,0,0,0,0,0,0
1382363508,0,0,0,0,0,0,0,0,0
1382363509,0,0,0,0,0,0,0,0,0
1382363510,0,0,0,0,0,0,0,0,0
1382363511,0,0,0,0,0,0,0,0,0
1382363512,0,0,0,0,0,0,0,0,0
1382363513,0,0,0,0,0,0,0,0,0
1382363514,0,0,0,0,0,0,0,0,0
1382363515,0,0,0,0,0,0,0,0,0
1382363516,0,0,0,0,0,0,0,0,0
1382363517,0,0,0,0,0,0,0,0,0
1382363518,0,0,0,0,0,0,0,0,0
1382363519,0,0,0,0,0,0,0,0,0
1382363520,0,0,0,0,0,0,0,0,0
1382363521,0,0,0,0,0,0,0,0,0
1382363522,0,0,0,0,0,0,0,0,0
1382363523,0,0,0,0,0,0,0,0,0
1382363524,0,0,0,0,0,0,0,0,0
1382363525,0,0,0,0,0,0,0,0,0
1382363526,0,0,0,0,0,0,0,0,0
1382363527,0,0,0,0,0,0,0,0,0
1382363528,0,0,0,0,0,0,0,0,0
1382363529,0,0,0,0,0,0,0,0,0
1382363530,0,0,0,0,0,0,0,0,0
1382363531,0,0,0,0,0,0,0,0,0
1382363532,0,0,0,0,0,0,0,0,0
1382363533,0,0,0,0,0,0,0,0,0
1382363534,0,0,0,0,0,0,0,0,0
1382363535,0,0,0,0,0,0,0,0,0
1382363536,0,0,0,0,0,0,0,0,0
1382363537,0,0,0,0,0,0,0,0,0
1382363538,0,0,0,0,0,0,0,0,0
1382363539,0,0,0,0,0,0,0,0,0
1382363540,0,0,0,0,0,0,0,0,0
1382363541,0,0,0,0,0,0,0,0,0
1382363542,0,0,0,0,0,0,0,0,0
1382363543,0,0,0,0,0,0,0,0,0
1382363544,0,0,0,0,0,0,0,0,0
1382363545,0,0,0,0,0,0,0,0,0
1382363546,0,0,0,0,0,0,0,0,0
