@relation 'trainingzeit-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-8,16-22-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute Unixtime numeric
@attribute 'Wirkleistung t-3' numeric
@attribute 'Wirkleistung t-2' numeric
@attribute 'Wirkleistung t-1' numeric
@attribute 'Wirkleistung t+0' numeric
@attribute 'Wirkleistung t+1' numeric
@attribute 'Wirkleistung t+2' numeric
@attribute 'Wirkleistung t+3' numeric
@attribute Klasse {0,1,2,3,4,5}

@data
1382290622,0,0,0,0,0,0,0,0
1382290623,0,0,0,0,0,0,0,0
1382290624,0,0,0,0,0,0,0,0
1382290625,0,0,0,0,0,0,0,0
1382290626,0,0,0,0,0,0,0,0
1382290627,0,0,0,0,0,0,0,0
1382290628,0,0,0,0,0,0,0,0
1382290629,0,0,0,0,0,0,0,0
1382290630,0,0,0,0,0,0,0,0
1382290631,0,0,0,0,0,0,0,0
1382290632,0,0,0,0,0,0,0,0
1382290633,0,0,0,0,0,0,0,0
1382290634,0,0,0,0,0,0,0,0
1382290635,0,0,0,0,0,0,0,0
1382290636,0,0,0,0,0,0,0,0
1382290637,0,0,0,0,0,0,0,0
1382290638,0,0,0,0,0,0,0,0
1382290639,0,0,0,0,0,0,0,0
1382290640,0,0,0,0,0,0,0,0
1382290641,0,0,0,0,0,0,0,0
1382290642,0,0,0,0,0,0,0,0
1382290643,0,0,0,0,0,0,0,0
1382290644,0,0,0,0,0,0,0,0
1382290645,0,0,0,0,0,0,0,0
1382290646,0,0,0,0,0,0,0,0
1382290647,0,0,0,0,0,0,0,0
1382290648,0,0,0,0,0,0,0,0
1382290649,0,0,0,0,0,0,0,0
1382290650,0,0,0,0,0,0,0,0
1382290651,0,0,0,0,0,0,0,0
1382290652,0,0,0,0,0,0,0,0
1382290653,0,0,0,0,0,0,0,0
1382290654,0,0,0,0,0,0,0,0
1382290655,0,0,0,0,0,0,0,0
1382290656,0,0,0,0,0,0,0,0
1382290657,0,0,0,0,0,0,0,0
1382290658,0,0,0,0,0,0,0,0
1382290659,0,0,0,0,0,0,0,0
1382290660,0,0,0,0,0,0,0,0
1382290661,0,0,0,0,0,0,0,0
1382290662,0,0,0,0,0,0,0,0
1382290663,0,0,0,0,0,0,0,0
1382290664,0,0,0,0,0,0,0,0
1382290665,0,0,0,0,0,0,0,0
1382290666,0,0,0,0,0,0,0,0
1382290667,0,0,0,0,0,0,0,0
1382290668,0,0,0,0,0,0,0,0
1382290669,0,0,0,0,0,0,0,0
1382290670,0,0,0,0,0,0,0,0
1382290671,0,0,0,0,0,0,0,0
1382290672,0,0,0,0,0,0,0,0
1382290673,0,0,0,0,0,0,0,0
1382290674,0,0,0,0,0,0,0,0
1382290675,0,0,0,0,0,0,0,0
1382290676,0,0,0,0,0,0,0,0
1382290677,0,0,0,0,0,0,0,0
1382290678,0,0,0,0,0,0,0,0
1382290679,0,0,0,0,0,0,0,0
1382290680,0,0,0,0,0,0,0,0
1382290681,0,0,0,0,0,0,0,0
1382290682,0,0,0,0,0,0,0,0
1382290683,0,0,0,0,0,0,0,0
1382290684,0,0,0,0,0,0,0,0
1382290685,0,0,0,0,0,0,0,0
1382290686,0,0,0,0,0,0,0,0
1382290687,0,0,0,0,0,0,0,0
1382290688,0,0,0,0,0,0,0,0
1382290689,0,0,0,0,0,0,0,0
1382290690,0,0,0,0,0,0,0,0
1382290691,0,0,0,0,0,0,0,0
1382290692,0,0,0,0,0,0,0,0
1382290693,0,0,0,0,0,0,0,0
1382290694,0,0,0,0,0,0,0,0
1382290695,0,0,0,0,0,0,0,0
1382290696,0,0,0,0,0,0,0,0
1382290697,0,0,0,0,0,0,0,0
1382290698,0,0,0,0,0,0,0,0
1382290699,0,0,0,0,0,0,0,0
1382290700,0,0,0,0,0,0,0,0
1382290701,0,0,0,0,0,0,0,0
1382290702,0,0,0,0,0,0,0,0
1382290703,0,0,0,0,0,0,0,0
